epoch: 98, Seg_Loss: 0.172, Overall_Acc: 0.997, Mean_IOU: 0.752, Class_0: 0.999, Class_1: 0.662 
epoch: 99, Seg_Loss: 0.189, Overall_Acc: 0.998, Mean_IOU: 0.736, Class_0: 0.999, Class_1: 0.626 
epoch: 100, Seg_Loss: 0.177, Overall_Acc: 0.997, Mean_IOU: 0.744, Class_0: 0.999, Class_1: 0.652 
epoch: 101, Seg_Loss: 0.168, Overall_Acc: 0.998, Mean_IOU: 0.756, Class_0: 0.999, Class_1: 0.668 
epoch: 102, Seg_Loss: 0.165, Overall_Acc: 0.998, Mean_IOU: 0.758, Class_0: 0.999, Class_1: 0.675 
epoch: 103, Seg_Loss: 0.178, Overall_Acc: 0.998, Mean_IOU: 0.747, Class_0: 0.999, Class_1: 0.648 
epoch: 104, Seg_Loss: 0.169, Overall_Acc: 0.998, Mean_IOU: 0.757, Class_0: 0.999, Class_1: 0.669 
epoch: 105, Seg_Loss: 0.179, Overall_Acc: 0.997, Mean_IOU: 0.742, Class_0: 0.999, Class_1: 0.648 
epoch: 106, Seg_Loss: 0.170, Overall_Acc: 0.998, Mean_IOU: 0.757, Class_0: 0.999, Class_1: 0.665 
epoch: 107, Seg_Loss: 0.178, Overall_Acc: 0.998, Mean_IOU: 0.747, Class_0: 0.999, Class_1: 0.648 
epoch: 108, Seg_Loss: 0.173, Overall_Acc: 0.998, Mean_IOU: 0.752, Class_0: 0.999, Class_1: 0.659 
epoch: 109, Seg_Loss: 0.167, Overall_Acc: 0.998, Mean_IOU: 0.759, Class_0: 0.999, Class_1: 0.669 
epoch: 110, Seg_Loss: 0.179, Overall_Acc: 0.998, Mean_IOU: 0.748, Class_0: 0.999, Class_1: 0.647 
epoch: 111, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.770, Class_0: 0.999, Class_1: 0.690 
epoch: 112, Seg_Loss: 0.161, Overall_Acc: 0.998, Mean_IOU: 0.762, Class_0: 0.999, Class_1: 0.681 
epoch: 113, Seg_Loss: 0.164, Overall_Acc: 0.998, Mean_IOU: 0.760, Class_0: 0.999, Class_1: 0.677 
epoch: 114, Seg_Loss: 0.185, Overall_Acc: 0.997, Mean_IOU: 0.733, Class_0: 0.998, Class_1: 0.637 
epoch: 115, Seg_Loss: 0.190, Overall_Acc: 0.998, Mean_IOU: 0.735, Class_0: 0.999, Class_1: 0.623 
epoch: 116, Seg_Loss: 0.162, Overall_Acc: 0.998, Mean_IOU: 0.765, Class_0: 0.999, Class_1: 0.681 
